행정동,면적_km2,최근접_지하철역,지하철역_거리_km,버스정류장_수,버스정류장_밀도,버스노선_수,buffer_접근성_점수,지하철_점수,버스밀도_점수,버스노선_점수,buffer_점수,교통_종합점수,순위
낙성대동,0.78,낙성대역,0.134,31,39.74,51,2.6,1.0,0.4134615384615385,0.47619047619047616,1.0,0.7486,1
남현동,1.12,사당역,0.221,58,51.79,95,0.7,0.5965812843283199,0.5890151515151515,1.0,0.2692307692307692,0.6099,2
보라매동,0.78,보라매병원역,0.345,44,56.41,72,1.7,0.3633468796971553,0.6563228438228438,0.7261904761904762,0.6538461538461539,0.5673,3
행운동,0.48,봉천역,0.369,27,56.25,44,1.9,0.3358328031954279,0.6539918414918415,0.39285714285714285,0.7307692307692307,0.5058,4
신사동,0.65,보라매공원역,0.267,24,36.92,39,1.7,0.48569512421341016,0.3723776223776224,0.3333333333333333,0.6538461538461539,0.4605,5
조원동,0.88,보라매역,0.336,38,43.18,62,1.0,0.37464872398272747,0.4635780885780886,0.6071428571428571,0.3846153846153846,0.4454,6
대학동,3.62,서울대벤처타운역,0.209,45,12.43,74,0.7,0.633169094157778,0.015588578088578093,0.75,0.2692307692307692,0.4294,7
서림동,0.62,중앙역,0.723,43,69.35,70,0.3,0.13928357661675178,0.8448426573426573,0.7023809523809523,0.11538461538461538,0.4235,8
중앙동,0.55,중앙역,0.348,28,50.91,46,0.7,0.3597058758584141,0.5761946386946386,0.4166666666666667,0.2692307692307692,0.4071,9
성현동,0.45,중앙역,1.251,36,80.0,59,0.0,0.05117338958665718,1.0,0.5714285714285714,0.0,0.3822,10
온천동,0.52,신대방삼거리역,0.691,31,59.62,51,0.6,0.14888950285588629,0.703088578088578,0.47619047619047616,0.23076923076923075,0.3693,11
신림동,2.06,신림역,0.256,32,15.53,52,0.7,0.508722398882582,0.06075174825174825,0.4880952380952381,0.2692307692307692,0.3447,12
신원동,0.55,신림역,0.674,24,43.64,39,0.9,0.15435822758477216,0.4702797202797203,0.3333333333333333,0.34615384615384615,0.3075,13
인헌동,0.72,낙성대(인헌)역,0.58,26,36.11,42,0.9,0.1902860588195887,0.3605769230769231,0.36904761904761907,0.34615384615384615,0.2998,14
미성동,0.72,신림역,0.935,24,33.33,39,0.3,0.09207603990212684,0.32007575757575757,0.3333333333333333,0.11538461538461538,0.202,15
청룡동,0.72,신림역,0.724,22,30.56,36,0.3,0.13899688748640296,0.2797202797202797,0.2976190476190476,0.11538461538461538,0.2012,16
삼성동,0.95,신림역,1.219,29,30.53,47,0.0,0.05435827836507072,0.2792832167832168,0.42857142857142855,0.0,0.1746,17
서원동,0.58,보라매공원역,0.687,8,13.79,13,0.9,0.15015226181092314,0.0354020979020979,0.023809523809523808,0.34615384615384615,0.1354,18
난곡동,1.68,신림역,1.464,28,16.67,46,0.0,0.03349762148653069,0.0773601398601399,0.4166666666666667,0.0,0.1144,19
청림동,0.32,봉천역,1.377,7,21.88,11,0.0,0.04006144008024825,0.15326340326340326,0.0,0.0,0.0523,20
난향동,0.88,신림역,2.158,10,11.36,16,0.0,0.0,0.0,0.05952380952380952,0.0,0.0119,21
