행정동,서울대정문_거리_km,서울대입구역_거리_km,최근접_접근지점,최근접_거리_km,snu_buffer_점수,snu_정문_접근성,snu_입구역_접근성,snu_buffer_정규,snu_접근성_종합,snu_순위
대학동,0.982,1.458,서울대 후문(공대),0.84,1.0,1.0,0.462,1.0,0.8386,1
낙성대동,2.379,0.843,서울대 동문(낙성대),0.018,0.3,0.2713,1.0,0.3,0.4956,2
행운동,3.06,0.944,서울대 동문(낙성대),0.723,0.0,0.1565,0.864,0.0,0.3374,3
인헌동,2.95,1.396,서울대 동문(낙성대),0.664,0.3,0.1715,0.4949,0.3,0.2942,4
서림동,3.227,1.087,서울대입구역,1.087,0.0,0.1357,0.7144,0.0,0.2822,5
중앙동,3.46,1.057,서울대입구역,1.057,0.0,0.1101,0.7424,0.0,0.2778,6
청룡동,3.397,1.597,서울대입구역,1.597,0.0,0.1167,0.3975,0.0,0.1776,7
온천동,4.063,1.82,서울대입구역,1.82,0.0,0.0574,0.3144,0.0,0.123,8
남현동,3.263,2.423,서울대 동문(낙성대),1.576,0.0,0.1315,0.1661,0.0,0.1156,9
신림동,3.45,2.31,서울대입구역,2.31,0.0,0.1111,0.188,0.0,0.112,10
청림동,4.181,1.914,서울대 동문(낙성대),1.828,0.0,0.0488,0.2852,0.0,0.11,11
성현동,4.317,1.898,서울대입구역,1.898,0.0,0.0395,0.29,0.0,0.1068,12
삼성동,3.119,2.81,서울대 후문(공대),2.763,0.0,0.1489,0.1043,0.0,0.1057,13
서원동,3.932,2.17,서울대입구역,2.17,0.0,0.0674,0.2183,0.0,0.0992,14
보라매동,4.317,2.348,서울대입구역,2.348,0.0,0.0395,0.1804,0.0,0.0739,15
신원동,4.03,2.597,서울대입구역,2.597,0.0,0.0598,0.136,0.0,0.0707,16
미성동,3.87,2.981,서울대입구역,2.981,0.0,0.0725,0.0821,0.0,0.0609,17
난곡동,3.818,3.362,서울대입구역,3.362,0.0,0.0768,0.0407,0.0,0.0506,18
난향동,3.806,3.845,서울대 후문(공대),3.758,0.0,0.0778,0.0,0.0,0.0389,19
신사동,4.771,3.027,서울대입구역,3.027,0.0,0.0124,0.0765,0.0,0.0292,20
조원동,5.012,3.499,서울대입구역,3.499,0.0,0.0,0.028,0.0,0.0084,21
