행정동_코드_명,순위,최종_자취_점수,식당_점수,병원_약국_점수,카페_점수,세탁소_점수,마트_슈퍼_점수
청룡동,1,81.2,65.87451302982475,73.44871964585171,68.77244855558297,100.0,98.50435022630701
신림동,2,67.6,67.24227931104382,70.60866531601539,58.126584485140555,84.5479087028188,55.02858220010524
낙성대동,3,66.5,98.55565075468921,59.24596886366041,100.0,17.449036512578516,57.610427535593864
중앙동,4,61.5,44.91564819060046,78.27586206896552,35.70759807060115,46.2076180201092,100.0
신사동,5,60.2,36.12619637943046,37.76577668702562,59.059149655874705,78.21297940969738,95.57732171508366
대학동,6,55.5,55.45389241047718,39.98956666766677,38.907332036037815,54.57492081191898,84.48450635088571
행운동,7,53.5,46.31916448150178,59.467833277920576,46.344694308467886,61.5078201034696,53.8047607733701
조원동,8,41.9,38.708989676131495,41.224217398517894,38.41778393953726,19.33644051373204,71.87491662145415
인헌동,9,41.8,42.38489346435975,42.70064274765298,26.423408106909857,42.21755111339523,51.35223275400499
보라매동,10,41.2,36.40943985484376,24.20659213331661,47.507114293174624,36.1265087116167,64.55841206972015
은천동,11,38.0,32.42304394767799,34.399970521961606,49.14807602987732,23.13837325191869,55.21352582575887
서원동,12,34.0,46.558401932253915,35.877446341374366,25.11635291920717,10.563314200993862,46.71781494560487
남현동,13,27.3,35.01087123419763,31.59601489330025,15.34688625198538,14.468532728466533,35.159184316744415
서림동,14,24.5,19.247312372757072,19.862411633630174,13.08535889632607,28.040234036452386,40.82799522301184
난곡동,15,23.8,5.480457063146091,32.41095044612982,11.85543910169256,20.481914763460395,50.450836998857326
미성동,16,23.3,9.053926744245825,25.62570803462748,21.356410380905867,20.048141250193304,43.397414080686026
신원동,17,20.6,19.64755747497805,9.58683897014658,21.472068985213813,17.385700910590696,35.53352816709534
성현동,18,19.0,18.58969427377165,17.28500539595035,13.839903602603075,10.634736519513014,33.58666799306859
삼성동,19,10.3,20.19734177556671,6.397496374661549,0.5721724817886571,8.18535344955174,11.16986006640272
난향동,20,4.3,0.0,2.5737786138560206,17.870363390969082,0.0,5.366393527612602
청림동,21,2.0,6.660436767219074,0.0,0.0,1.6500999269245278,0.0
